movie_title,year,duration,genre,rating
Spider-Man: Into the Spider-Verse,2018,117 min,"Animation, Action, Adventure",8.4
The Shawshank Redemption,1994,142 min,Drama,9.3
Guardians of the Galaxy,2014,121 min,"Action, Adventure, Comedy",8.0
Interstellar,2014,169 min,"Adventure, Drama, Sci-Fi",8.7
Harry Potter and the Sorcerer's Stone,2001,152 min,"Adventure, Family, Fantasy",7.6
GoodFellas,1990,145 min,"Biography, Crime, Drama",8.7
Guardians of the Galaxy Vol. 2,2017,136 min,"Action, Adventure, Comedy",7.6
The Wolf of Wall Street,2013,180 min,"Biography, Comedy, Crime",8.2
Inception,2010,148 min,"Action, Adventure, Sci-Fi",8.8
Once Upon a Time in... Hollywood,2019,161 min,"Comedy, Drama",7.6
The Dark Knight,2008,152 min,"Action, Crime, Drama",9.0
Pulp Fiction,1994,154 min,"Crime, Drama",8.9
What's Love Got to Do with It,1993,118 min,"Biography, Drama, Music",7.3
Titanic,1997,194 min,"Drama, Romance",7.9
Hacksaw Ridge,2016,139 min,"Biography, Drama, History",8.1
Avengers: Endgame,2019,181 min,"Action, Adventure, Drama",8.4
Fifty Shades of Grey,2015,125 min,"Drama, Romance, Thriller",4.2
Jurassic Park,1993,127 min,"Action, Adventure, Sci-Fi",8.2
Blade Runner 2049,2017,164 min,"Action, Drama, Mystery",8.0
Gisaengchung,2019,132 min,"Drama, Thriller",8.5
The Lord of the Rings: The Fellowship of the Ring,2001,178 min,"Action, Adventure, Drama",8.8
The Green Mile,1999,189 min,"Crime, Drama, Fantasy",8.6
Fight Club,1999,139 min,Drama,8.8
Mad Max: Fury Road,2015,120 min,"Action, Adventure, Sci-Fi",8.1
The Departed,2006,151 min,"Crime, Drama, Thriller",8.5
Transformers,2007,144 min,"Action, Adventure, Sci-Fi",7.0
Saving Private Ryan,1998,169 min,"Drama, War",8.6
Whiplash,2014,106 min,"Drama, Music",8.5
Inglourious Basterds,2009,153 min,"Adventure, Drama, War",8.3
Ted,2012,106 min,Comedy,6.9
Forrest Gump,1994,142 min,"Drama, Romance",8.8
Good Will Hunting,1997,126 min,"Drama, Romance",8.3
Harry Potter and the Goblet of Fire,2005,157 min,"Adventure, Family, Fantasy",7.7
Se7en,1995,127 min,"Crime, Drama, Mystery",8.6
The Matrix,1999,136 min,"Action, Sci-Fi",8.7
Schindler's List,1993,195 min,"Biography, Drama, History",9.0
The Silence of the Lambs,1991,118 min,"Crime, Drama, Thriller",8.6
Black Swan,2010,108 min,"Drama, Thriller",8.0
Pride & Prejudice,2005,129 min,"Drama, Romance",7.8
Prisoners,2013,153 min,"Crime, Drama, Mystery",8.1
The Lion King,2019,118 min,"Animation, Adventure, Drama",6.8
Tenet,2020,150 min,"Action, Sci-Fi, Thriller",7.3
Beauty and the Beast,I 2017,129 min,"Adventure, Family, Fantasy",7.1
Django Unchained,2012,165 min,"Drama, Western",8.4
Knives Out,2019,130 min,"Comedy, Crime, Drama",7.9
Requiem for a Dream,2000,102 min,Drama,8.3
Cars,2006,117 min,"Animation, Adventure, Comedy",7.2
Joker,I 2019,122 min,"Crime, Drama, Thriller",8.4
The Grand Budapest Hotel,2014,99 min,"Adventure, Comedy, Crime",8.1
Gladiator,2000,155 min,"Action, Adventure, Drama",8.5
Cinderella,I 2015,105 min,"Adventure, Drama, Family",6.9
The Prestige,2006,130 min,"Drama, Mystery, Sci-Fi",8.5
No Country for Old Men,2007,122 min,"Crime, Drama, Thriller",8.2
Spider-Man,2002,121 min,"Action, Adventure, Sci-Fi",7.4
Avengers: Infinity War,2018,149 min,"Action, Adventure, Sci-Fi",8.4
The Mummy,1999,124 min,"Action, Adventure, Fantasy",7.1
Pirates of the Caribbean: The Curse of the Black Pearl,2003,143 min,"Action, Adventure, Fantasy",8.1
Harry Potter and the Prisoner of Azkaban,2004,142 min,"Adventure, Family, Fantasy",7.9
Avatar,2009,162 min,"Action, Adventure, Fantasy",7.9
The Fifth Element,1997,126 min,"Action, Adventure, Sci-Fi",7.6
True Lies,1994,141 min,"Action, Comedy, Thriller",7.3
American Beauty,1999,122 min,Drama,8.3
Starship Troopers,1997,129 min,"Action, Adventure, Sci-Fi",7.3
Harry Potter and the Deathly Hallows: Part 2,2011,130 min,"Adventure, Family, Fantasy",8.1
Promising Young Woman,2020,113 min,"Crime, Drama, Mystery",7.5
The Irishman,2019,209 min,"Biography, Crime, Drama",7.8
Black Hawk Down,2001,144 min,"Action, Drama, History",7.7
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,143 min,"Adventure, Family, Fantasy",6.9
Star Wars: Episode IX - The Rise of Skywalker,2019,141 min,"Action, Adventure, Fantasy",6.5
Iron Man,2008,126 min,"Action, Adventure, Sci-Fi",7.9
Call Me by Your Name,2017,132 min,"Drama, Romance",7.8
Little Women,2019,135 min,"Drama, Romance",7.8
Gone Girl,2014,149 min,"Drama, Mystery, Thriller",8.1
The Lord of the Rings: The Return of the King,2003,201 min,"Action, Adventure, Drama",9.0
Prometheus,I 2012,124 min,"Adventure, Mystery, Sci-Fi",7.0
Ford v Ferrari,2019,152 min,"Action, Biography, Drama",8.1
Troy,2004,163 min,Drama,7.3
The Lion King,1994,88 min,"Animation, Adventure, Drama",8.5
Memento,2000,113 min,"Mystery, Thriller",8.4
Arrival,II 2016,116 min,"Drama, Mystery, Sci-Fi",7.9
Almost Famous,2000,122 min,"Adventure, Comedy, Drama",7.9
